ixdat version = 0.2.2dev
name = 2022-04-07 13_20_11 HER on Pt repeatability non-aqu.tsv
technique = EC-MS
tstamp = 1649330411.0
backend_name = BackendBase(none, address=none)
id = 1
timecol 'time/s' for: 'Ewe/V' and 'I/mA' and 'selector'
timecol 'M40-x' for: 'M40'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M4-x' for: 'M4'
timecol 'M32-x' for: 'M32'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 18

time/s,	Ewe/V,	I/mA,	selector,	M40-x,	M40,	M28-x,	M28,	M18-x,	M18,	M4-x,	M4,	M32-x,	M32,	M44-x,	M44,	M2-x,	M2
336.7084000110626,	0.9296044,	-0.0002409944,	0,	0.9125139713287354,	9.146161e-10,	0.7635843753814697,	8.312599e-08,	0.6896193027496338,	2.575452e-09,	0.614654541015625,	4.239637e-09,	0.8385488986968994,	2.240594e-08,	0.987478494644165,	1.425246e-10,	0.5406894683837891,	1.877197e-09
336.8729999065399,	0.9296005,	0.0001090431,	0,	1.4758670330047607,	9.200248e-10,	1.326874017715454,	8.225289e-08,	1.2518770694732666,	2.55546e-09,	1.177880048751831,	4.21656e-09,	1.4008700847625732,	2.249724e-08,	1.5498640537261963,	1.422849e-10,	1.10288405418396,	1.865188e-09
336.0292000770569,	0.9296502,	0.0001834785,	0,	2.0385398864746094,	9.164973e-10,	1.8895690441131592,	8.224199e-08,	1.8145840167999268,	2.574373e-09,	1.7405979633331299,	4.238268e-09,	1.963555097579956,	2.241879e-08,	2.1125259399414062,	1.413374e-10,	1.6656129360198975,	1.869143e-09
336.1851999759674,	0.9296197,	-0.0005971395,	0,	2.600153923034668,	9.165096e-10,	2.4511990547180176,	8.189638e-08,	2.3772220611572266,	2.565801e-09,	2.302243947982788,	4.18035e-09,	2.526176929473877,	2.199167e-08,	2.6751320362091064,	1.431062e-10,	2.228266954421997,	1.854801e-09
336.34220004081726,	0.9296616,	0.0001643925,	0,	3.1632020473480225,	9.105579e-10,	3.0142369270324707,	8.218014e-08,	2.9392549991607666,	2.5091e-09,	2.865272045135498,	4.200683e-09,	3.0882198810577393,	2.22024e-08,	3.237185001373291,	1.425943e-10,	2.7902889251708984,	1.864504e-09
336.5123999118805,	0.9296617,	-0.0002299246,	0,	3.726072072982788,	9.052369e-10,	3.57710599899292,	8.208556e-08,	3.502124071121216,	2.531448e-09,	3.4281411170959473,	4.210718e-09,	3.6510889530181885,	2.220637e-08,	3.8000540733337402,	1.425924e-10,	3.3531579971313477,	1.865291e-09
336.69580006599426,	0.9296044,	7.659684e-05,	0,	4.288733005523682,	9.115734e-10,	4.139739990234375,	8.176543e-08,	4.0657429695129395,	2.530802e-09,	3.9907469749450684,	4.170725e-09,	4.214735984802246,	2.198866e-08,	4.363729000091553,	1.402269e-10,	3.916749954223633,	1.861844e-09
336.84100008010864,	0.9296426,	1.513987e-05,	0,	4.851501941680908,	9.065039e-10,	4.702514886856079,	8.161989e-08,	4.628521919250488,	2.51553e-09,	4.553528070449829,	4.175478e-09,	4.777508020401001,	2.224541e-08,	4.92649507522583,	1.403382e-10,	4.479535102844238,	1.848859e-09
336.99699997901917,	0.9296158,	7.468824e-05,	0,	5.415074110031128,	9.108799e-10,	5.2660698890686035,	8.213648e-08,	5.191067934036255,	2.527277e-09,	5.117065906524658,	4.210972e-09,	5.3400719165802,	2.214315e-08,	5.4890758991241455,	1.393945e-10,	5.04206395149231,	1.858612e-09
337.1528000831604,	0.9296426,	9.873663e-05,	0,	5.976514101028442,	9.095509e-10,	5.827523946762085,	8.191455e-08,	5.753529071807861,	2.517753e-09,	5.678534984588623,	4.200185e-09,	5.90251898765564,	2.23191e-08,	6.051507949829102,	1.391716e-10,	5.604540109634399,	1.858761e-09
337.3104000091553,	0.9296426,	7.621512e-05,	0,	6.539354085922241,	9.152932e-10,	6.3903679847717285,	8.204914e-08,	6.316374063491821,	2.5391e-09,	6.241380929946899,	4.173636e-09,	6.46536111831665,	2.228346e-08,	6.6143479347229,	1.445653e-10,	6.167387008666992,	1.860238e-09
337.49640011787415,	0.9296349,	0.0003346398,	0,	7.10217809677124,	9.109851e-10,	6.95319390296936,	8.274036e-08,	6.878201961517334,	2.529035e-09,	6.80420994758606,	4.213112e-09,	7.027185916900635,	2.224202e-08,	7.176170110702515,	1.416563e-10,	6.729218006134033,	1.854118e-09
337.6735999584198,	0.9296693,	-5.854742e-06,	0,	7.665117979049683,	9.143344e-10,	7.516134023666382,	8.215829e-08,	7.4411420822143555,	2.505134e-09,	7.367150068283081,	4.199777e-09,	7.590126037597656,	2.231396e-08,	7.739110946655273,	1.431923e-10,	7.292157888412476,	1.856711e-09
337.8554000854492,	0.9296082,	0.0002563871,	0,	8.227339029312134,	9.076817e-10,	8.078349113464355,	8.247115e-08,	8.00435495376587,	2.530705e-09,	7.9293599128723145,	4.142865e-09,	8.153343915939331,	2.221933e-08,	8.302333116531372,	1.380407e-10,	7.855365037918091,	1.860258e-09
338.01079988479614,	0.9296464,	-0.0002245805,	0,	8.790066957473755,	9.313675e-10,	8.641081094741821,	8.239837e-08,	8.566088914871216,	2.537702e-09,	8.492095947265625,	4.220099e-09,	8.715074062347412,	2.221886e-08,	8.86405897140503,	1.413498e-10,	8.417103052139282,	1.864261e-09
