ixdat version = 0.2.2dev
name = 2022-03-30 12_51_35 OER on Pt repeatability.tsv
technique = EC-MS
tstamp = 1648637495.0
backend_name = BackendBase(none, address=none)
id = 1
timecol 'time/s' for: 'Ewe/V' and 'I/mA' and 'selector'
timecol 'M40-x' for: 'M40'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M4-x' for: 'M4'
timecol 'M32-x' for: 'M32'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 18

time/s,	Ewe/V,	I/mA,	selector,	M40-x,	M40,	M28-x,	M28,	M18-x,	M18,	M4-x,	M4,	M32-x,	M32,	M44-x,	M44,	M2-x,	M2
97.03362011909485,	0.8719344,	0.0001199297,	0,	0.9209742546081543,	3.406429e-12,	0.7720479965209961,	1.874691e-10,	0.6970851421356201,	3.288826e-09,	0.6231217384338379,	4.181314e-08,	0.8460114002227783,	1.168593e-10,	0.9949374198913574,	4.307108e-11,	0.5481588840484619,	8.507916e-10
97.18201994895935,	0.8719152,	0.0001276023,	0,	1.4835610389709473,	3.309914e-12,	1.3345460891723633,	1.878946e-10,	1.2605390548706055,	3.31905e-09,	1.1855320930480957,	4.139659e-08,	1.4095540046691895,	1.175208e-10,	1.558568000793457,	4.276467e-11,	1.111525058746338,	8.763988e-10
97.34062004089355,	0.8720108,	0.0001247393,	0,	2.0455310344696045,	3.342378e-12,	1.896596908569336,	1.872957e-10,	1.8216300010681152,	3.288572e-09,	1.74766206741333,	4.11274e-08,	1.9705638885498047,	1.170067e-10,	2.1194989681243896,	4.22018e-11,	1.6726949214935303,	8.718382e-10
96.4984200000763,	0.8719496,	4.767002e-05,	0,	2.6092278957366943,	3.072463e-12,	2.4602389335632324,	1.871111e-10,	2.3852450847625732,	3.266178e-09,	2.3112499713897705,	4.092003e-08,	2.534234046936035,	1.149732e-10,	2.683223009109497,	4.277636e-11,	2.2362558841705322,	8.709881e-10
96.6720199584961,	0.8719535,	-0.0002646536,	0,	3.171473979949951,	3.169085e-12,	3.0224709510803223,	1.86266e-10,	2.948470115661621,	3.248416e-09,	2.873469114303589,	4.062173e-08,	3.0974719524383545,	1.152559e-10,	3.2464749813079834,	4.232203e-11,	2.799467086791992,	8.614329e-10
96.82881999015808,	0.8719878,	-0.0001346396,	0,	3.7342419624328613,	3.378785e-12,	3.5852489471435547,	1.845297e-10,	3.5112531185150146,	3.247746e-09,	3.436255931854248,	4.039799e-08,	3.660245895385742,	1.147189e-10,	3.809238910675049,	4.246374e-11,	3.362260103225708,	8.595462e-10
96.96781992912292,	0.8719459,	0.0001023705,	0,	4.297214984893799,	3.501984e-12,	4.148222923278809,	1.832376e-10,	4.073225975036621,	3.233662e-09,	3.999229907989502,	4.032342e-08,	4.222218990325928,	1.137183e-10,	4.371212005615234,	4.20453e-11,	3.9242329597473145,	8.571474e-10
97.12421989440918,	0.8719917,	1.4384e-05,	0,	4.859379053115845,	3.270526e-12,	4.7103800773620605,	1.84528e-10,	4.636380910873413,	3.222594e-09,	4.561381101608276,	4.038345e-08,	4.785379886627197,	1.134352e-10,	4.934377908706665,	4.205405e-11,	4.487381935119629,	8.591836e-10
97.27902007102966,	0.8720184,	1.518561e-05,	0,	5.422595977783203,	3.427824e-12,	5.273591041564941,	1.857835e-10,	5.199588060379028,	3.221157e-09,	5.12458610534668,	4.023066e-08,	5.34859299659729,	1.125543e-10,	5.497597932815552,	4.186918e-11,	5.0505828857421875,	8.546109e-10
97.4342200756073,	0.8719534,	-0.0001370063,	0,	5.985836982727051,	3.226202e-12,	5.836827039718628,	1.840648e-10,	5.761821985244751,	3.219521e-09,	5.68781590461731,	4.01197e-08,	5.910831928253174,	1.147844e-10,	6.059843063354492,	4.135013e-11,	5.612811088562012,	8.515015e-10
