ixdat version = 0.2.2dev
name = 2022-04-07 10_10_27 OER on Pt repeatability.tsv
technique = EC-MS
tstamp = 1649319027.0
backend_name = BackendBase(none, address=none)
id = 2
timecol 'time/s' for: 'Ewe/V' and 'I/mA' and 'selector'
timecol 'M40-x' for: 'M40'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M4-x' for: 'M4'
timecol 'M32-x' for: 'M32'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 18

time/s,	Ewe/V,	I/mA,	selector,	M40-x,	M40,	M28-x,	M28,	M18-x,	M18,	M4-x,	M4,	M32-x,	M32,	M44-x,	M44,	M2-x,	M2
657.7465000152588,	0.9211814,	0.0001182044,	0,	0.9093420505523682,	9.104063e-10,	0.7604379653930664,	8.567984e-08,	0.6864855289459229,	3.883292e-09,	0.6115338802337646,	1.170304e-12,	0.8353896141052246,	2.100417e-08,	0.9842936992645264,	1.250427e-10,	0.5375816822052002,	1.776322e-09
657.8970999717712,	0.9212157,	-0.0001440375,	0,	1.4722599983215332,	8.953973e-10,	1.3233270645141602,	8.562164e-08,	1.2483599185943604,	3.872746e-09,	1.174393892288208,	1.447697e-12,	1.3972930908203125,	2.08897e-08,	1.546226978302002,	1.270072e-10,	1.0994269847869873,	1.764842e-09
658.0541000366211,	0.9212043,	0.0003747204,	0,	2.0347189903259277,	8.995122e-10,	1.885732889175415,	8.457391e-08,	1.8117399215698242,	3.858065e-09,	1.7367470264434814,	1.198798e-12,	1.960726022720337,	2.079922e-08,	2.1097118854522705,	1.285148e-10,	1.6627540588378906,	1.765052e-09
657.2235000133514,	0.921212,	-0.000218473,	0,	2.597532033920288,	9.019007e-10,	2.448554039001465,	8.493408e-08,	2.3745648860931396,	3.850136e-09,	2.2995760440826416,	1.086571e-12,	2.523542881011963,	2.07502e-08,	2.6725220680236816,	1.254848e-10,	2.2255868911743164,	1.758732e-09
657.3951001167297,	0.9211738,	0.0001231667,	0,	3.160468101501465,	9.03435e-10,	3.0114879608154297,	8.483221e-08,	2.9364991188049316,	3.844228e-09,	2.86250901222229,	1.235177e-12,	3.0854780673980713,	2.063379e-08,	3.234457015991211,	1.251452e-10,	2.787519931793213,	1.748693e-09
657.5657000541687,	0.9211738,	0.0004052581,	0,	3.723388910293579,	8.999341e-10,	3.5744099617004395,	8.476673e-08,	3.499419927597046,	3.857596e-09,	3.4254300594329834,	1.339784e-12,	3.6483991146087646,	2.050239e-08,	3.7973780632019043,	1.273188e-10,	3.3504409790039062,	1.748042e-09
657.7227001190186,	0.9211432,	0.0001101882,	0,	4.285604000091553,	8.903641e-10,	4.136615037918091,	8.499592e-08,	4.062619924545288,	3.812982e-09,	3.9876248836517334,	1.344506e-12,	4.21160888671875,	2.069001e-08,	4.360599040985107,	1.25898e-10,	3.913630962371826,	1.754221e-09
657.8650999069214,	0.9211661,	0.0001624839,	0,	4.848509073257446,	9.017547e-10,	4.699521064758301,	8.491592e-08,	4.624527931213379,	3.839747e-09,	4.550534009933472,	1.478186e-12,	4.773514986038208,	2.075464e-08,	4.9225029945373535,	1.267164e-10,	4.475539922714233,	1.749901e-09
658.0192999839783,	0.9211929,	3.575277e-05,	0,	5.411381959915161,	9.010319e-10,	5.262397050857544,	8.513055e-08,	5.187403917312622,	3.827308e-09,	5.113410949707031,	1.372457e-12,	5.336390018463135,	2.091111e-08,	5.485374927520752,	1.280632e-10,	5.038419008255005,	1.755065e-09
658.1752998828888,	0.9211585,	0.0002529516,	0,	5.973659038543701,	9.059029e-10,	5.824665069580078,	8.504687e-08,	5.750668048858643,	3.807335e-09,	5.675671100616455,	1.306193e-12,	5.899662017822266,	2.069145e-08,	6.048655986785889,	1.312276e-10,	5.6016740798950195,	1.751491e-09
