ixdat version = 0.2.2dev
name = 2022-04-06 14_48_52 HER on Pt repeatability.tsv
technique = EC-MS
tstamp = 1649249332.0
backend_name = BackendBase(none, address=none)
id = 4
timecol 'time/s' for: 'Ewe/V' and 'I/mA' and 'selector'
timecol 'M40-x' for: 'M40'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M4-x' for: 'M4'
timecol 'M32-x' for: 'M32'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 18

time/s,	Ewe/V,	I/mA,	selector,	M40-x,	M40,	M28-x,	M28,	M18-x,	M18,	M4-x,	M4,	M32-x,	M32,	M44-x,	M44,	M2-x,	M2
82.0202100276947,	0.0017556,	0.0002247043,	0,	0.8548691272735596,	3.158104e-12,	0.7058570384979248,	2.117495e-10,	0.6308510303497314,	4.356183e-09,	0.55684494972229,	3.957295e-08,	0.7798631191253662,	2.372599e-10,	0.9288749694824219,	6.796286e-11,	0.4818389415740967,	2.383582e-09
82.18360996246338,	0.001778508,	0.0002437904,	0,	1.4161889553070068,	3.040216e-12,	1.2672569751739502,	2.103891e-10,	1.1932909488677979,	4.328961e-09,	1.11832594871521,	3.917019e-08,	1.3422229290008545,	2.339906e-10,	1.4911539554595947,	6.578856e-11,	1.0443599224090576,	2.347777e-09
82.34221005439758,	0.001740379,	0.0002380645,	0,	1.9797019958496094,	3.151644e-12,	1.8307099342346191,	2.113792e-10,	1.7557148933410645,	4.255734e-09,	1.6817190647125244,	3.897828e-08,	1.9047060012817383,	2.345116e-10,	2.0536980628967285,	6.66193e-11,	1.6067230701446533,	2.316721e-09
81.50061011314392,	0.0017556,	0.0002346291,	0,	2.5429370403289795,	3.156532e-12,	2.3939290046691895,	2.085571e-10,	2.318924903869629,	4.217977e-09,	2.2449209690093994,	3.869899e-08,	2.467932939529419,	2.338214e-10,	2.616940975189209,	6.529197e-11,	2.169917106628418,	2.299501e-09
81.65600991249084,	0.001759406,	0.0002449355,	0,	3.1047720909118652,	3.235272e-12,	2.9557740688323975,	2.066888e-10,	2.8817739486694336,	4.208696e-09,	2.8067750930786133,	3.873881e-08,	3.0307729244232178,	2.312053e-10,	3.1797709465026855,	6.463285e-11,	2.732775926589966,	2.294037e-09
81.79560995101929,	0.001759406,	0.000236156,	0,	3.667404890060425,	3.147824e-12,	3.5184218883514404,	2.056656e-10,	3.444430112838745,	4.157693e-09,	3.369438886642456,	3.825082e-08,	3.593414068222046,	2.269117e-10,	3.7423970699310303,	6.617369e-11,	3.2954471111297607,	2.279615e-09
81.96601009368896,	0.001767091,	0.0002380645,	0,	4.2303431034088135,	3.19545e-12,	4.081358909606934,	2.051854e-10,	4.006367921829224,	4.154418e-09,	3.932375907897949,	3.826335e-08,	4.155350923538208,	2.303367e-10,	4.304333925247192,	6.428487e-11,	3.857383966445923,	2.263363e-09
82.13760995864868,	0.001786119,	0.0002395914,	0,	4.791745901107788,	3.238022e-12,	4.642780065536499,	2.046547e-10,	4.5687971115112305,	4.106789e-09,	4.4938130378723145,	3.821878e-08,	4.7177629470825195,	2.295079e-10,	4.866729974746704,	6.382388e-11,	4.419830083847046,	2.250158e-09
82.32661008834839,	0.001759406,	0.0002441721,	0,	5.355675935745239,	3.01278e-12,	5.206680059432983,	2.054941e-10,	5.1326820850372314,	4.138514e-09,	5.057682991027832,	3.812657e-08,	5.281677961349487,	2.29357e-10,	5.430674076080322,	6.373368e-11,	4.98368501663208,	2.25208e-09
82.48380994796753,	0.001763286,	0.0002365377,	0,	5.917771100997925,	3.134666e-12,	5.768796920776367,	2.040493e-10,	5.693809986114502,	4.166079e-09,	5.619822978973389,	3.781334e-08,	5.8427839279174805,	2.294367e-10,	5.991756916046143,	6.380221e-11,	5.54483699798584,	2.244675e-09
