ixdat version = 0.2.2dev
name = 2022-04-07 11_53_00 HER on Pt repeatability.tsv
technique = EC-MS
tstamp = 1649325180.0
backend_name = BackendBase(none, address=none)
id = 5
timecol 'time/s' for: 'Ewe/V' and 'I/mA' and 'selector'
timecol 'M40-x' for: 'M40'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M4-x' for: 'M4'
timecol 'M32-x' for: 'M32'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 18

time/s,	Ewe/V,	I/mA,	selector,	M40-x,	M40,	M28-x,	M28,	M18-x,	M18,	M4-x,	M4,	M32-x,	M32,	M44-x,	M44,	M2-x,	M2
19.674819946289062,	1.119307,	0.0002056183,	0,	0.8594679832458496,	3.307309e-12,	0.7105534076690674,	1.868108e-10,	0.6365957260131836,	3.636958e-09,	0.561638593673706,	4.208231e-08,	0.7855103015899658,	1.816777e-10,	0.934424877166748,	3.731745e-11,	0.48768091201782227,	2.345613e-09
19.842220067977905,	1.119318,	3.498933e-05,	0,	1.422065019607544,	3.284119e-12,	1.2731590270996094,	1.871005e-10,	1.1992061138153076,	3.598827e-09,	1.1242530345916748,	4.140646e-08,	1.3481121063232422,	1.803267e-10,	1.4970180988311768,	3.668986e-11,	1.0502989292144775,	2.316857e-09
20.014620065689087,	1.119307,	0.0001693549,	0,	1.985982894897461,	3.015424e-12,	1.8369810581207275,	1.865264e-10,	1.761979103088379,	3.563239e-09,	1.6879780292510986,	4.086245e-08,	1.9109818935394287,	1.809422e-10,	2.059983968734741,	3.604948e-11,	1.6129770278930664,	2.29596e-09
19.18702006340027,	1.119349,	-0.0001860267,	0,	2.548877000808716,	3.285779e-12,	2.399880886077881,	1.876092e-10,	2.324882984161377,	3.567381e-09,	2.2508859634399414,	4.071081e-08,	2.473879098892212,	1.804647e-10,	2.6228749752044678,	3.716319e-11,	2.1758880615234375,	2.301727e-09
19.343420028686523,	1.119345,	-6.616655e-05,	0,	3.111668109893799,	3.180093e-12,	2.962632894515991,	1.805663e-10,	2.8886160850524902,	3.539923e-09,	2.813599109649658,	4.040043e-08,	3.0376510620117188,	1.783192e-10,	3.186685085296631,	3.599712e-11,	2.7395811080932617,	2.278007e-09
19.500619888305664,	1.119341,	-8.145064e-06,	0,	3.674798011779785,	3.268867e-12,	3.525763988494873,	1.828154e-10,	3.4507460594177246,	3.530247e-09,	3.3767290115356445,	4.062369e-08,	3.599781036376953,	1.774974e-10,	3.7488160133361816,	3.636931e-11,	3.3017120361328125,	2.272894e-09
19.676419973373413,	1.119322,	3.384417e-05,	0,	4.2362380027771,	3.38943e-12,	4.087263107299805,	1.826867e-10,	4.01227593421936,	3.50571e-09,	3.9382879734039307,	4.014332e-08,	4.161250114440918,	1.755437e-10,	4.310225009918213,	3.571396e-11,	3.8633010387420654,	2.268782e-09
19.858619928359985,	1.119387,	-3.791925e-05,	0,	4.799288034439087,	3.30788e-12,	4.6502768993377686,	1.819094e-10,	4.576272010803223,	3.54191e-09,	4.501266956329346,	4.05083e-08,	4.7252819538116455,	1.750732e-10,	4.874293088912964,	3.503466e-11,	4.427261114120483,	2.258056e-09
20.016220092773438,	1.11936,	-3.219345e-05,	0,	5.361313104629517,	3.195001e-12,	5.212331056594849,	1.817379e-10,	5.138339996337891,	3.522415e-09,	5.063349008560181,	3.995777e-08,	5.287322044372559,	1.773548e-10,	5.436304092407227,	3.540135e-11,	4.989357948303223,	2.251251e-09
20.188819885253906,	1.119353,	-2.455904e-05,	0,	5.924676895141602,	3.188671e-12,	5.775684118270874,	1.814792e-10,	5.700686931610107,	3.521861e-09,	5.626691102981567,	4.021325e-08,	5.849679946899414,	1.768518e-10,	5.998672962188721,	3.557423e-11,	5.551693916320801,	2.253122e-09
20.361819982528687,	1.119383,	0.0001071345,	0,	6.486710071563721,	3.23038e-12,	6.337716102600098,	1.812494e-10,	6.263719081878662,	3.476728e-09,	6.188720941543579,	4.019149e-08,	6.412713050842285,	1.758207e-10,	6.561707973480225,	3.535821e-11,	6.1147239208221436,	2.243797e-09
20.5346200466156,	1.119345,	-2.684936e-05,	0,	7.050441026687622,	3.181292e-12,	6.901429891586304,	1.82064e-10,	6.827425003051758,	3.516149e-09,	6.752419948577881,	4.018019e-08,	6.976435899734497,	1.773393e-10,	7.125446081161499,	3.587727e-11,	6.678415060043335,	2.258042e-09
20.725820064544678,	1.119349,	0.0002373011,	0,	7.613480091094971,	3.194517e-12,	7.464469909667969,	1.783147e-10,	7.389465093612671,	3.483568e-09,	7.3154590129852295,	3.983614e-08,	7.538475036621094,	1.76862e-10,	7.687484979629517,	3.543809e-11,	7.2404539585113525,	2.245711e-09
20.895220041275024,	1.119345,	0.0001815699,	0,	8.174889087677002,	3.065323e-12,	8.02590799331665,	1.812252e-10,	7.950917959213257,	3.52953e-09,	7.876928091049194,	3.981906e-08,	8.099899053573608,	1.764397e-10,	8.248878955841064,	3.465352e-11,	7.801937103271484,	2.250484e-09
